,球队,控球率,进球数,射门数,射正率,失球数,助攻数,犯规数,传球数,传球成功率,扑救率,造成失误数,压迫数,净胜球
0,ARGENTINA,0.52,2.0,13.833333333333334,0.4676190476190476,0.8333333333333334,1.1666666666666667,16.5,621.1666666666666,0.8776246370331439,1.0555555555555556,75.5,373.3333333333333,1.1666666666666667
1,AUSTRALIA,0.3125,1.0,6.25,0.35,1.5,0.75,9.75,384.0,0.7680762146884837,1.0,71.5,217.0,-0.5
2,BELGIUM,0.49666666666666665,0.3333333333333333,11.333333333333334,0.3333333333333333,0.6666666666666666,0.3333333333333333,11.666666666666666,593.0,0.8798562086058905,1.0,65.0,336.0,-0.3333333333333333
3,BRAZIL,0.504,1.6,18.0,0.4676023391812866,0.6,1.2,15.6,601.8,0.8956849215891328,1.0,81.0,339.4,1.0
4,CAMEROON,0.3833333333333333,1.3333333333333333,9.0,0.4908424908424909,1.3333333333333333,1.3333333333333333,13.0,386.3333333333333,0.8008916620103061,1.0175438596491226,66.33333333333333,257.6666666666667,0.0
5,CANADA,0.47000000000000003,0.6666666666666666,11.666666666666666,0.13756613756613756,2.3333333333333335,0.3333333333333333,12.666666666666666,499.3333333333333,0.859229790920104,1.0,77.66666666666667,318.3333333333333,-1.6666666666666667
6,COSTA RICA,0.27666666666666667,1.0,4.0,0.3333333333333333,3.6666666666666665,0.3333333333333333,13.0,340.6666666666667,0.7822441532816172,1.0,56.666666666666664,238.33333333333334,-2.6666666666666665
7,CROATIA,0.48500000000000004,1.0,11.166666666666666,0.3462185962185962,1.0,1.0,13.833333333333334,630.1666666666666,0.8702928971356902,1.0055555555555555,81.5,367.0,0.0
8,DENMARK,0.53,0.3333333333333333,11.666666666666666,0.2593073593073593,1.0,0.3333333333333333,8.333333333333334,593.6666666666666,0.8778661465439864,1.0,80.66666666666667,299.0,-0.6666666666666666
9,ECUADOR,0.4666666666666666,1.3333333333333333,9.0,0.4615384615384615,1.0,0.6666666666666666,13.666666666666666,445.6666666666667,0.8269925562817719,1.0,66.33333333333333,251.0,0.3333333333333333
10,ENGLAND,0.5780000000000001,2.6,12.0,0.450759534583064,0.8,2.2,14.2,610.4,0.8914120708694735,1.0285714285714285,62.0,348.2,1.8
11,FRANCE,0.4566666666666667,2.1666666666666665,15.166666666666666,0.34552368927368926,0.8333333333333334,1.8333333333333333,10.5,523.3333333333334,0.8771077932793573,1.0452380952380953,57.5,284.3333333333333,1.3333333333333333
12,GERMANY,0.5266666666666667,2.0,22.333333333333332,0.36791666666666667,1.6666666666666667,1.6666666666666667,10.0,633.0,0.8712029905015194,1.0666666666666667,81.66666666666667,380.0,0.3333333333333333
13,GHANA,0.37666666666666665,1.6666666666666667,8.333333333333334,0.39814814814814814,2.3333333333333335,1.3333333333333333,12.666666666666666,391.0,0.8206744689491895,1.0,69.0,266.3333333333333,-0.6666666666666666
14,IRAN,0.3133333333333333,1.3333333333333333,11.666666666666666,0.33134920634920634,2.3333333333333335,0.6666666666666666,9.333333333333334,327.3333333333333,0.7302734255835804,0.9944444444444445,75.33333333333333,200.66666666666666,-1.0
15,JAPAN,0.2975,1.25,10.5,0.3369047619047619,1.0,1.0,9.25,398.25,0.8001194202397548,1.04125,67.5,229.0,0.25
16,KOREA REPUBLIC,0.4225,1.25,12.25,0.3464285714285714,2.0,0.75,8.75,466.5,0.857111787959733,1.0416666666666667,65.75,276.75,-0.75
17,MEXICO,0.4833333333333334,0.6666666666666666,14.0,0.31923076923076926,1.0,0.3333333333333333,17.0,417.6666666666667,0.8306056162156428,1.0,71.66666666666667,259.6666666666667,-0.3333333333333333
18,MOROCCO,0.33166666666666667,0.8333333333333334,9.0,0.3016011766011766,0.5,0.6666666666666666,11.5,366.0,0.8032262855039479,1.107264957264957,57.333333333333336,224.16666666666666,0.3333333333333333
19,NETHERLANDS,0.45,2.0,8.0,0.41729603729603726,0.8,1.6,11.4,560.8,0.8618146956831685,0.9963369963369964,64.6,288.6,1.2
20,POLAND,0.3175,0.75,7.75,0.19318181818181818,1.25,0.25,12.5,353.0,0.794866249724668,1.0384615384615383,58.25,181.75,-0.5
21,PORTUGAL,0.542,2.4,12.4,0.3978354978354978,1.2,1.6,13.8,595.4,0.8769228112751547,1.0422222222222222,71.8,332.0,1.2
22,QATAR,0.4066666666666667,0.3333333333333333,7.0,0.2888888888888889,2.3333333333333335,0.3333333333333333,15.333333333333334,444.3333333333333,0.8458672120140859,1.0256410256410255,67.0,276.6666666666667,-2.0
23,SAUDI ARABIA,0.36666666666666664,1.0,9.666666666666666,0.39305555555555555,1.6666666666666667,0.6666666666666666,14.333333333333334,374.6666666666667,0.7523510024446353,1.055,70.0,240.33333333333334,-0.6666666666666666
24,SENEGAL,0.39749999999999996,1.25,12.75,0.2702380952380952,1.75,0.5,14.75,389.0,0.8095956766701359,1.025,64.75,244.75,-0.5
25,SERBIA,0.4266666666666667,1.6666666666666667,10.333333333333334,0.24621212121212122,2.6666666666666665,1.3333333333333333,9.333333333333334,464.0,0.836512052714323,1.0,79.0,258.0,-1.0
26,SPAIN,0.6900000000000001,2.25,12.75,0.3186005171299289,0.75,1.5,11.75,954.75,0.9186532761488166,1.0333333333333334,90.5,545.5,1.5
27,SWITZERLAND,0.43,1.25,9.0,0.24375,2.25,1.0,12.5,475.0,0.8469249007230852,0.9951298701298701,77.25,307.75,-1.0
28,TUNISIA,0.3766666666666667,0.3333333333333333,9.666666666666666,0.3328671328671329,0.3333333333333333,0.3333333333333333,10.0,405.3333333333333,0.7939188428462293,1.1157407407407407,81.33333333333333,233.66666666666666,0.0
