,team1,team2,possession team1,possession team2,number of goals team1,number of goals team2,total attempts team1,total attempts team2,conceded team1,conceded team2,assists team1,assists team2,on target attempts team1,on target attempts team2,fouls against team1,fouls against team2,passes team1,passes team2,passes completed team1,passes completed team2,goal preventions team1,goal preventions team2,forced turnovers team1,forced turnovers team2,defensive pressures applied team1,defensive pressures applied team2
0,QATAR,ECUADOR,0.42 ,0.50 ,0,2,5,6,2,0,0,1,0,3,15,15,450,480,381,409,6,5,52,72,256,279
1,ENGLAND,IRAN,0.72 ,0.19 ,6,2,13,8,2,6,6,1,7,3,9,14,809,224,730,154,8,13,63,72,139,416
2,SENEGAL,NETHERLANDS,0.44 ,0.45 ,0,2,14,9,2,0,0,1,3,3,13,13,383,438,313,374,9,15,63,73,263,251
3,UNITED STATES,WALES,0.51 ,0.39 ,1,1,6,7,1,1,1,0,1,3,15,10,569,409,509,321,7,7,81,72,242,292
4,ARGENTINA,SAUDI ARABIA,0.64 ,0.24 ,1,2,14,3,2,1,0,1,6,2,7,21,610,267,529,190,4,14,65,80,163,361
5,DENMARK,TUNISIA,0.55 ,0.33 ,0,0,11,11,0,0,0,0,4,1,9,10,594,387,523,302,11,11,76,73,226,287
6,MEXICO,POLAND,0.54 ,0.31 ,0,0,13,8,0,0,0,0,4,1,14,16,485,322,422,241,8,15,61,70,193,290
7,FRANCE,AUSTRALIA,0.56 ,0.35 ,4,1,22,4,1,4,4,1,7,1,5,11,734,466,672,399,4,22,64,56,250,316
8,MOROCCO,CROATIA,0.32 ,0.57 ,0,0,8,6,0,0,0,0,2,2,17,11,360,667,290,592,7,8,87,58,391,217
9,GERMANY,JAPAN,0.65 ,0.22 ,1,2,25,10,2,1,0,1,9,3,6,14,820,261,743,207,12,26,55,87,164,487
10,SPAIN,COSTA RICA,0.74 ,0.17 ,7,0,17,0,0,7,4,0,7,0,8,12,1061,231,1003,170,0,17,46,76,185,585
11,BELGIUM,CANADA,0.46 ,0.43 ,1,0,9,21,0,1,1,0,3,4,11,14,512,448,439,382,21,9,74,47,284,320
12,SWITZERLAND,CAMEROON,0.43 ,0.46 ,1,0,8,7,0,1,1,0,3,3,12,10,497,500,437,424,7,8,64,79,313,316
13,URUGUAY,KOREA REPUBLIC,0.49 ,0.38 ,0,0,10,6,0,0,0,0,0,0,7,10,528,419,459,340,6,10,65,54,240,231
14,PORTUGAL,GHANA,0.55 ,0.35 ,3,2,11,8,2,3,2,2,5,3,14,19,636,394,573,326,8,11,70,82,286,326
15,BRAZIL,SERBIA,0.53 ,0.34 ,2,0,24,4,0,2,1,0,10,0,7,12,585,403,526,341,4,24,72,71,236,338
16,WALES,IRAN,0.51 ,0.33 ,0,2,10,21,2,0,0,1,3,6,9,10,508,295,413,202,21,9,89,84,161,276
17,QATAR,SENEGAL,0.42 ,0.48 ,1,3,10,12,3,1,1,2,2,4,7,12,424,511,353,445,12,11,67,67,308,232
